capability_id,domain,capability,module,route,exposure,persona,component,hook_or_service,tables,views,rpcs,edge_functions,storage,current_status,recommended_classification,priority,blocker,security_risk,multi_tenant_status,vertical_fit,configuration_required,dependencies,evidence,confidence,recommended_action,acceptance_criteria,owner_suggested,target_phase,notes
AUTH-001,Auth,Login email+senha,Auth,/login,PUBLIC,Todos,Login.tsx,useAuth,auth.users;profiles,,,,,ATIVO,PRONTO,P1,não,BAIXO,N/A,SUPORTADO,não,Supabase Auth,rg src/pages/Login.tsx; docs/auth-login-checklist.md,ALTO,manter; validar fluxo em staging,Login com usuário novo em org limpa funciona sem erro,Engenharia,0.3A,Fluxo padrão Supabase
AUTH-002,Auth,Signup,Auth,/signup,PUBLIC,Prospect,Signup.tsx,useAuth,auth.users;profiles,,handle_new_user,,,ATIVO,ADAPTAR,P0,sim,MÉDIO,N/A,PARCIAL,sim,,rg src/pages/Signup.tsx,MÉDIO,Fechar signup público durante ciclo dos Fundadores; usar apenas convite,Signup público desabilitado ou gated por token; Fundador entra apenas por convite,Produto+Eng,0.3A,Blueprint proíbe self-service no primeiro ciclo
AUTH-003,Auth,Recuperação/Reset senha,Auth,/forgot-password;/reset-password,PUBLIC,Todos,ForgotPassword.tsx;ResetPassword.tsx,,auth.users,,,,,ATIVO,NECESSITA AUDITORIA,P1,não,BAIXO,N/A,SUPORTADO,não,Supabase Auth,código presente,MÉDIO,Reproduzir fluxo end-to-end,Reset completa sem quebra em org limpa,Eng,0.3A,
AUTH-004,Auth,Aceite de convite,Auth,/accept-invitation/:token,PUBLIC,Convidado,AcceptInvitation,useInvitations,user_invitations,,get_invitation_by_token,,,ATIVO,NECESSITA AUDITORIA,P0,sim,MÉDIO,EXIGE VALIDAÇÃO,SUPORTADO,não,,rg get_invitation_by_token,MÉDIO,Validar token TTL; garantir single-use; testar cross-org,Convite fora de validade rejeita; token não vaza organization_id,Eng+Security,0.3A,
TENANT-001,Multi-tenancy,Isolamento por organization_id,Todas,N/A,CLIENT,Todos,vários,,408 tabelas com organization_id,,,,,ESTRUTURAL,NECESSITA AUDITORIA,P0,sim,ALTO,EXISTENTE ESTRUTURALMENTE,N/A,não,,supabase catalog: 408 cols org_id; 1049 policies; docs/security/phase1-rls-audit.md,ALTO,Executar suíte em staging (Fase 2 já staged),Suíte tenant-isolation verde em 12 usuários x 6 papéis; 0 vazamentos cross-org,Security,NOID-SECURITY,BLOQUEADOR — HOMOLOGAÇÃO EM STAGING NECESSÁRIA
TENANT-002,Multi-tenancy,Policies com USING(true),Governança,N/A,VARIÁVEL,Sistema,,,27 tabelas,,,,,ESTRUTURAL,NECESSITA AUDITORIA,P1,não,MÉDIO,POR TABELA,N/A,não,,supabase pg_policies USING true count=27,ALTO,Revisar caso-a-caso; muitas são service_role legítimo,Cada policy USING(true) tem justificativa documentada,Security,0.3A,Maioria service_role/read-only whitelists
ORG-001,Organizações,Criação de organização,Orgs,/onboarding,CLIENT,Owner,Onboarding.tsx,,organizations;organization_members,,,,,ATIVO,ADAPTAR,P0,sim,MÉDIO,PARCIAL,ADAPTAR,sim,,rg src/pages/Onboarding.tsx,MÉDIO,Rever para Fundador (criação manual via LEGAL vs self-service),Fundador tem tenant criado por operação com pipelines Eventos pré-configurados,Produto,0.3-template,Depende NOID Events Template
ORG-002,Organizações,Memberships e papéis,Orgs,/app/settings/users,OWNER_ADMIN,Owner/Admin,UsersSettings,usePermissions,organization_members;user_roles,,has_role,,,ATIVO,PRONTO,P1,não,BAIXO,PADRÃO,SUPORTADO,não,,src/components/SettingsGate.tsx; user_roles table,ALTO,Manter; validar em staging,Owner/Admin/Manager/Sales/Viewer/CS acessam apenas seu escopo,Eng,0.3A,
CRM-001,CRM,Empresas (Accounts),CRM,/app/accounts,CLIENT,Sales+,AccountList,useAccounts,accounts (74 cols),,,,,ATIVO,ADAPTAR,P1,não,MÉDIO,SIM,EXIGE CAMPOS VERTICAIS,sim,,accounts com 74 cols; blueprint sec.7,MÉDIO,Adicionar campos verticais (organizador/local/pavilhão) via custom_fields,Fundador cria empresa com campos verticais sem alterar código,Produto,0.3-template,
CRM-002,CRM,Contatos,CRM,/app/contacts,CLIENT,Sales+,,useContacts,contacts,,,,,ATIVO,PRONTO,P2,não,BAIXO,SIM,SUPORTADO,não,,src/services/crm/contacts.ts,ALTO,manter,,Eng,0.3A,
