hardcode_id,domain,module,file_path,symbol,line_or_location,hardcode_type,current_value_or_behavior,severity,functional_or_visual,tenant_impact,segment_impact,current_classification,recommended_classification,recommended_destination,migration_strategy,regression_risk,evidence,status
HC-001,brand,Proposals,src/components/proposals/PublicProposalApprovedScreen.tsx,PublicProposalApprovedScreen,line 233,text_string,"A cobrança será enviada pela equipe LEGAL conforme a condição aprovada.",MEDIUM,visual,high,universal,LEGAL_HARDCODE,TENANT_CONFIG,proposal_template_string,Substituir por template i18n com placeholder {organization.display_name} ou string configurável por tenant,low,rg -n 'equipe LEGAL' src/,IDENTIFIED
HC-002,integration,Products,src/components/products/ProductInventoryRequirementsEditor.tsx,ProductInventoryRequirementsEditor,lines 511-546,coupled_schema_field,"eventrix_category_id + eventrix_family_id como campos obrigatórios do produto",HIGH,functional,high,vertical_events,OPTIONAL_INTEGRATION,OPTIONAL_INTEGRATION,vertical_pack_or_optional,Renomear para inventory_category_id/inventory_family_id genéricos + provider strategy Eventrix opcional,medium,rg -n 'eventrix_' src/components/products/,IDENTIFIED
HC-003,integration,Products,src/components/products/ProductBOMEditor.tsx,ProductBOMEditor,line 85,text_string,"Defina quais categorias e famílias do Eventrix este produto exige para ser entregue.",MEDIUM,visual,medium,vertical_events,LEGAL_HARDCODE,TENANT_CONFIG,i18n_and_provider_agnostic,Trocar string por provider name resolvido em runtime,low,rg -n 'Eventrix' src/components/products/,IDENTIFIED
HC-004,vertical_events,Roleplay,src/services/roleplay/archetypes.ts,ClientArchetype.type,line 6,literal_union_type,"type: 'Organizador' | 'Expositor' | 'Agência' | 'Empresa Contratante'",HIGH,functional,medium,vertical_events,VERTICAL_PACK,VERTICAL_PACK,move_to_pack_events_seed,Extrair union para tabela `client_archetype_types` seeded pelo pack Events,medium,src/services/roleplay/archetypes.ts:6,IDENTIFIED
HC-005,vertical_events,Roleplay,src/schemas/roleplay.ts,archetype schema,line 17,zod_enum,"z.enum(['Organizador','Expositor','Agência','Empresa Contratante'])",HIGH,functional,medium,vertical_events,VERTICAL_PACK,VERTICAL_PACK,move_to_pack_events_seed,Fazer enum dinâmico via lookup ou aceitar string + validation por pack,medium,src/schemas/roleplay.ts:17,IDENTIFIED
HC-006,vertical_connectivity,Inventory,src/lib/operations/inventoryEquipmentProfile.ts,routerFactorySchema simCardSchema,lines 26-105,zod_schema_domain_specific,"Schema com campos IMEI/SSID/WiFi/APN/ICCID como obrigatórios",HIGH,functional,critical,vertical_connectivity,VERTICAL_PACK,VERTICAL_PACK,move_to_pack_conectividade,Extrair para pack Conectividade LEGAL; inventory core aceita JSONB genérico,high,src/lib/operations/inventoryEquipmentProfile.ts,IDENTIFIED
HC-007,vertical_connectivity,Inventory,src/lib/operations/formErrorFeedback.ts,fieldLabels,lines 25-30,label_map,"'router_factory.wifi_password_factory','router_factory.imei','sim_card_factory.iccid' como labels obrigatórias",MEDIUM,visual,critical,vertical_connectivity,VERTICAL_PACK,VERTICAL_PACK,move_to_pack_conectividade,Feed labels vindo do pack schema,low,src/lib/operations/formErrorFeedback.ts,IDENTIFIED
HC-008,integration,Inventory,src/schemas/eventrixInventorySettings.ts,eventrix schema,file scope,coupled_schema,"Schema/settings assumindo Eventrix como provider de inventário",HIGH,functional,high,vertical_events,OPTIONAL_INTEGRATION,OPTIONAL_INTEGRATION,vertical_pack_or_optional,Renomear para InventoryProviderSettings com discriminated union por provider (eventrix/nativo/erp),medium,src/schemas/eventrixInventorySettings.ts,IDENTIFIED
HC-009,integration,Inventory,src/pages/settings/EventrixInventorySettings.tsx,EventrixInventorySettings,file scope,route_and_page_name,"Rota /app/settings/eventrix-inventory nomeada por provider",MEDIUM,visual,medium,vertical_events,OPTIONAL_INTEGRATION,OPTIONAL_INTEGRATION,rename_to_inventory_provider_settings,Renomear rota + página; manter redirect para não quebrar bookmarks,medium,src/App.tsx,IDENTIFIED
HC-010,integration,Inventory,src/hooks/settings/useEventrixInventory.ts,useEventrixInventory,file scope,hook_name,"Hook nomeado por provider ao invés de capability",LOW,functional,low,vertical_events,OPTIONAL_INTEGRATION,OPTIONAL_INTEGRATION,rename_to_useInventoryProvider,Rename + alias temporário,low,src/hooks/settings/useEventrixInventory.ts,IDENTIFIED
HC-011,integration,Proposals,src/lib/proposals/inventoryDemandSnapshot.ts,snapshot builder,file scope,coupled_logic,"Lógica de snapshot de demanda referenciando Eventrix",MEDIUM,functional,medium,vertical_events,OPTIONAL_INTEGRATION,OPTIONAL_INTEGRATION,abstract_inventory_provider,Extrair adapter InventoryDemandProvider,medium,src/lib/proposals/inventoryDemandSnapshot.ts,IDENTIFIED
HC-012,integration,Proposals,src/lib/proposals/inventoryDemandPreview.ts,demand preview,file scope,coupled_logic,"Preview referencia Eventrix explicitamente",MEDIUM,functional,medium,vertical_events,OPTIONAL_INTEGRATION,OPTIONAL_INTEGRATION,abstract_inventory_provider,Ver HC-011,medium,src/lib/proposals/inventoryDemandPreview.ts,IDENTIFIED
