finding_id,domain,surface,environment,severity,status,title,description,evidence,affected_files,affected_tables,affected_rpcs,affected_edge_functions,affected_buckets,cross_tenant_risk,pii_risk,secret_risk,repository_risk,recommended_fix,fix_applied,staging_validated,production_applied,rollback_available,owner,acceptance_criteria,remaining_risk,notes
SEC-001,repository,github,repo,HIGH,OPEN,Repositório público,DesenvolvedoresLEGAL/noidcrm está público; expõe estrutura interna e potencial reconhecimento para atacantes,Sprint 0.2.1 registrou visibilidade pública,,,,,,none,none,none,high,Tornar privado em Settings ou registrar decisão executiva formal,no,no,no,n/a,HUMANOID,Repositório privado ou decisão formal alternativa,Enumeração de código-fonte por terceiros,Ação humana (P0-11)
SEC-002,repository,git,repo,HIGH,OPEN,.env rastreado pelo Git,.env estava commitado com publishable keys; ainda que os valores sejam públicos por design, versionamento é higiene ruim e mistura ambientes,git ls-files retornou '.env',.env.example;.env.staging.example,,,,,none,none,low,medium,Atualizar .gitignore + git rm --cached .env em checkout local,partial,n/a,no,n/a,HUMANOID,.env fora do tracking + .gitignore protege padrões,Requer ação humana,.gitignore é read-only no sandbox Lovable; agente criou apenas .env.example sanitizado
SEC-003,repository,secrets-scan,repo,INFO,VALIDATED,Sem secret privado na árvore atual,Varredura por padrões de service_role/sk-/xoxb-/PEM/AWS/JWT longo além dos anon publicáveis não encontrou nada,rg patterns 0 hits,,,,,,none,none,none,none,Manter varredura periódica,yes,n/a,n/a,n/a,HUMANOID,Zero secret privado literal,Baixo,Ferramentas gitleaks/trufflehog indisponíveis no sandbox
SEC-004,repository,git-history,repo,MEDIUM,OPEN,Histórico Git não recebeu varredura exaustiva,gitleaks/trufflehog não instalados; revisão limitada a git grep,logs preliminares,,,,,,none,none,medium,medium,Rodar gitleaks --log-opts=--all em runner confiável e rotacionar qualquer hit,no,n/a,n/a,n/a,HUMANOID,Varredura full-history sem hits ou hits rotacionados,Secret antigo em blob histórico permanece potencialmente acessível enquanto repo é público,Prioridade sobe se P0-11 permanecer aberto
SEC-005,tenant-isolation,supabase,staging,CRITICAL,BLOCKED,Suíte multi-tenant não executada,Projeto Supabase de staging não provisionado; suíte auto-skipa sem TEST_SUPABASE_URL,src/test/security/tenant-isolation/fixture.ts,accounts;contacts;opportunities;proposals;activities;inventory_items;products;notifications_v2,get_user_organization_id;calculate_forecast_accuracy_v2;get_forecast_snapshots_v2;get_forecast_v2_health_check;get_org_seat_metrics,,,unknown,unknown,none,none,Provisionar staging conforme docs/security/staging-provisioning-guide.md e executar suíte,no,no,no,n/a,HUMANOID,Suíte 100% verde em staging,Isolamento não comprovado empiricamente,P0-01
SEC-006,storage,supabase,staging,HIGH,BLOCKED,Migrations de hardening de storage staged não aplicadas,7 migrations em supabase/migrations-staged/storage/ dependem de staging para 07a→07b,supabase/migrations-staged/storage/,proposals;opportunity_files;account_documents,resolve_proposal_pdf_path;resolve_opportunity_file_path,,proposal-pdfs;proposal-layouts;opportunity-files,unknown,high,none,none,Aplicar em staging na ordem 01→02→03→04→05b→06→07a→(observar)→07b,no,no,no,yes,HUMANOID,Buckets sensíveis privados + signed URL homologada,Buckets podem estar públicos em produção,P0-03
SEC-007,invitations,supabase,staging,HIGH,BLOCKED,Aceite de convite não homologado end-to-end,Análise estática ok mas cenários de replay/concorrência/cross-org exigem staging,accept_organization_invitation RPC,organization_invitations;organization_members,accept_organization_invitation,,,unknown,none,none,none,Executar cenários da Fase 9 em staging,no,no,no,n/a,HUMANOID,Todos os cenários da Fase 9 verdes,Replay ou role escalation não descartados,P0-05
SEC-008,rls,supabase,production,MEDIUM,OPEN,27 policies USING(true) sem classificação individual,Auditoria estática identificou; classificação por policy exige teste dinâmico,docs/security/linter-warning-matrix.csv,,,,,,unknown,unknown,none,none,Classificar em LEGITIMA_SERVICE_ROLE/LEGITIMA_GLOBAL_READ/LEGITIMA_PLATFORM_ADMIN/RISCO/CORRIGIR,no,no,no,n/a,HUMANOID,27 policies com justificativa registrada,Policies com USING(true) podem permitir escrita indevida,Faz parte da Fase 6
SEC-009,rls,supabase,production,MEDIUM,OPEN,SECURITY DEFINER hardening apenas parcial,Fase 1.5 revogou EXECUTE de PUBLIC em ~371 funções; sub-conjunto crítico ainda não auditado linha a linha,docs/security/phase1-5-linter-triage.md,,,,,,unknown,unknown,none,none,Auditar funções chamadas por frontend/edge/views Revenue Core,partial,no,partial,n/a,HUMANOID,Todas as funções críticas com search_path fixo + validação membership,Função com search_path mutável pode ser sequestrada,Fase 7
SEC-010,ci,github-actions,repo,LOW,FIXED_IN_STAGING,Workflow de isolamento com guarda anti-produção,tenant-isolation.yml compara TEST_SUPABASE_URL host com VITE_SUPABASE_URL host,.github/workflows/tenant-isolation.yml,,,,,,none,none,none,low,Adicionar comparação explícita com PROD_REF urihdqturaebhiefwjnw,partial,no,n/a,n/a,HUMANOID,Workflow aborta se ref==prod,Baixo,Guard adicional recomendado mas guarda por host já bloqueia
